Frequency,Number,Vocabulary,Translation
3542,27.89,携带,carry
3543,27.88,职,Duty
3544,27.88,派遣,send
3545,27.88,议案,motion
3546,27.87,确实,really
3547,27.86,济南,Jinan
3548,27.86,撤出,Withdraw
3549,27.86,甘肃省,Gansu province
3550,27.85,10月,October
3551,27.85,元首,Headage
3552,27.85,步骤,step
3553,27.83,算,Calculate
3554,27.81,穆巴拉克,Mubarak
3555,27.79,放开,open
3556,27.79,火炬,torch
3557,27.77,娜,Na
3558,27.77,献,offer
3559,27.74,编制,prepared by
3560,27.73,直,straight
3561,27.72,落,fall
3562,27.72,伤,hurt
3563,27.72,援引,Assign
3564,27.71,怎样,how
3565,27.7,玛,Mast
3566,27.69,缩小,Narrow
3567,27.66,艰苦奋斗,Hard struggle
3568,27.66,保存,save
3569,27.65,占据,occupy
3570,27.64,火,fire
3571,27.64,农作物,crop
3572,27.63,轻,light
3573,27.62,宝,precious
3574,27.62,长春,Changchun
3575,27.61,失利,Lose
3576,27.6,何,what
3577,27.59,行长,Leader
3578,27.57,台湾当局,Taiwan authorities
3579,27.57,调解,Mediate
3580,27.46,地理,geography
3581,27.46,突尼斯,Tunisia
3582,27.46,壮大,grow
3583,27.46,重要性,importance
3584,27.45,将军,General
3585,27.45,应有,due
3586,27.43,旅,trip
3587,27.43,6万,60000
3588,27.42,高峰,peak
3589,27.42,不准,Not allow
3590,27.37,贝,cowry
3591,27.37,节水,Water-saving
3592,27.35,长沙,Changsha
3593,27.34,鲜花,Flowers
3594,27.34,沟通,communicate
3595,27.33,拨,dial
3596,27.33,依托,Rely on
3597,27.32,白俄罗斯,Belarus
3598,27.28,全国人大,National People's Congress
3599,27.28,转达,Convey
3600,27.27,登,Deck
3601,27.26,急需,urgent need
3602,27.26,遗憾,Pity
3603,27.25,网站,website
3604,27.2,邀请赛,Invitation
3605,27.19,老区,Old district
3606,27.19,开采,Mining
3607,27.16,开创,Create
3608,27.14,无偿,Unpaid
3609,27.14,近年,in recent years
3610,27.13,500万,5000000
3611,27.12,起步,Start
3612,27.11,县城,county seat
3613,27.1,出任,As
3614,27.09,贸易额,Trade volume
3615,27.09,防范,Prevention
3616,27.09,购物,Shopping
3617,27.07,成交,make a deal
3618,27.06,主队,Main team
3619,27.06,四大,Four major
3620,27.06,晴,clear
3621,27.02,短短,Short
3622,27.02,分离,Separate
3623,27,老百姓,Ordinary people
3624,26.97,受理,Accept
3625,26.97,激励,excitation
3626,26.96,打算,Intend
3627,26.93,原材料,Raw material
3628,26.92,当场,on the spot
3629,26.92,评,Review
3630,26.92,申报,declare
3631,26.92,含,Contain
3632,26.91,争端,dispute
3633,26.89,供水,Water supply
3634,26.88,近来,recently
3635,26.88,不错,good
3636,26.88,带头,take the lead
3637,26.87,科普,Science
3638,26.87,硬,hard
3639,26.87,混乱,confusion
3640,26.85,课程,course
3641,26.85,企业集团,Enterprise Group
3642,26.84,感觉,Feel
3643,26.83,对抗,confrontation
3644,26.83,逝世,Death
3645,26.82,历史性,historic
3646,26.81,新华,Xinhua
3647,26.8,似乎,seem
3648,26.8,缩短,shorten
3649,26.76,观测,Observe
3650,26.75,妥善,proper
3651,26.74,年均,Annual average
3652,26.74,叶,leaf
3653,26.73,国际象棋,International chess
3654,26.71,污水,Sewage
3655,26.71,生动,vivid
3656,26.71,处分,Punish
3657,26.7,首席,chief
3658,26.69,伊斯兰,Islam
3659,26.67,新年,new Year
3660,26.67,人生,Life
3661,26.66,多边,multilateral
3662,26.65,威,Weigh
3663,26.64,一线,First-line
3664,26.61,雷锋,Lei Feng
3665,26.61,集装箱,container
3666,26.6,重庆市,Chongqing
3667,26.6,循环,cycle
3668,26.59,院士,academician
3669,26.58,博物馆,Museum
3670,26.58,认定,Identify
3671,26.57,接收,take over
3672,26.55,商务,Business
3673,26.55,任期,term of office
3674,26.55,煤矿,Coal mine
3675,26.55,客机,airliner
3676,26.55,后卫,Guard
3677,26.54,拓宽,Broaden
3678,26.54,无疑,undoubtedly
3679,26.53,失业率,unemployment rate
3680,26.53,消防,Fire
3681,26.52,容量,capacity
3682,26.52,业绩,Performance
3683,26.52,表,surface
3684,26.5,远远,Far away
3685,26.49,多云,partly cloudy
3686,26.48,温饱,Die
3687,26.47,配置,Configure
3688,26.47,外部,external
3689,26.47,媒介,medium
3690,26.47,用地,Land
3691,26.46,蔓延,spread
3692,26.45,心里,In the heart
3693,26.43,鼓舞,Encourage
3694,26.41,罕见,rare
3695,26.41,阐述,Elaborate
3696,26.4,本身,itself
3697,26.37,冰,ice
3698,26.37,人均收入,Per capita income
3699,26.36,土壤,soil
3700,26.36,古代,Ancient
3701,26.36,战绩,Record
3702,26.35,参展,Exhibit
3703,26.35,拼搏,Struggle
3704,26.35,夫妇,Couple
3705,26.35,法人,Legal perspective
3706,26.35,挂牌,List
3707,26.35,取胜,win
3708,26.35,大面积,large area
3709,26.34,编辑,edit
3710,26.33,有益,Beneficial
3711,26.33,罪,crime
3712,26.33,听到,Hear
3713,26.32,议题,issue
3714,26.32,英格兰,England
3715,26.32,教练员,coach
3716,26.32,习惯,Habit
3717,26.3,勘探,exploration
3718,26.27,哪里,where
3719,26.27,本着,In
3720,26.25,赫,Hop
3721,26.24,塔利班,Taliban
3722,26.24,巴方,Ba Fangfang
3723,26.24,秘书,Secretary
3724,26.23,沙特,Saudi
3725,26.22,技能,Skill
3726,26.21,法官,Judge
3727,26.21,出线,Outline
3728,26.19,出口额,Export
3729,26.18,刑事,criminal
3730,26.18,必然,inevitable
3731,26.16,笑,laugh
3732,26.16,销毁,destroy
3733,26.16,脱贫致富,Get rid of poverty
3734,26.16,许,May
3735,26.16,名字,name
3736,26.14,热爱,Love
3737,26.14,战线,Front
3738,26.13,前途,future
3739,26.13,经营者,Operators
3740,26.11,叙,Narrate
3741,26.09,翻,turn
3742,26.08,试,try
3743,26.07,情绪,mood
3744,26.07,上场,Play
3745,26.07,小区,Community
3746,26.07,分获,Submit
3747,26.06,角度,angle
3748,26.04,辽宁队,Liaoning team
3749,26.04,席,Seat
3750,26.04,储量,Reserve
3751,26.02,十一,eleven
3752,26.01,分流,Diversion
3753,26.01,位居,Attend
3754,26,名次,Name
3755,25.99,天然,natural
3756,25.97,监察,Monitor
3757,25.96,售,Sell
3758,25.95,紧,tight
3759,25.94,班子,Team
3760,25.94,赛前,Pre-match
3761,25.92,精力,energy
3762,25.91,收集,collect
3763,25.9,理,reason
3764,25.9,重返,return
3765,25.89,制造业,manufacturing
3766,25.89,上级,Superior
3767,25.88,滑雪,ski
3768,25.88,技改,Technique change
3769,25.87,赛区,Chart
3770,25.86,国旗,National flag
3771,25.86,倒,fall
3772,25.85,穿,Put on
3773,25.85,急,urgent
3774,25.85,东道主,Host
3775,25.83,设有,With
3776,25.81,后果,as a result of
3777,25.81,通车,Traffic
3778,25.81,阵容,line-up
3779,25.8,缺少,Lack
3780,25.79,平民,civilian
3781,25.79,老年人,Elderly
3782,25.78,300万,3000000
3783,25.76,季节,season
3784,25.76,狠抓,Pay close attention
3785,25.73,上将,Colonal
3786,25.73,胡,Hu
3787,25.73,城区,Urban area
3788,25.73,茶,Tea
3789,25.72,流行,Popularity
3790,25.72,民营,Private
3791,25.71,水电,Hydropower
3792,25.7,投资额,Investment
3793,25.7,上周,Last week
3794,25.69,同步,Synchronize
3795,25.68,回家,go home
3796,25.68,球星,Star
3797,25.68,太空,Space
3798,25.67,伯,Busble
3799,25.66,造,make
3800,25.66,苦,bitter
3801,25.64,祝愿,wish
3802,25.63,财政部,Finance department
3803,25.63,投放,Put in
3804,25.62,统筹,Overall
3805,25.62,前不久,Shortly
3806,25.62,棋,chess
3807,25.59,回来,return
3808,25.59,有机,organic
3809,25.55,绝不,no way
3810,25.55,特写,close up
3811,25.54,休息,rest
3812,25.53,劳,labor
3813,25.52,封锁,blockade
3814,25.52,条款,Clause
3815,25.51,烟,cigarette
3816,25.5,人事,personnel
3817,25.5,社论,editorial
3818,25.48,外来,foreign
3819,25.47,望,see
3820,25.47,夏季,summer
3821,25.46,值,value
3822,25.45,塑料,plastic
3823,25.45,堤,embankment
3824,25.45,立足,Stand up
3825,25.38,调节,adjust
3826,25.38,爱好者,Fooker
3827,25.38,男单,Men's singles
3828,25.37,一面,one side
3829,25.37,初期,Initial
3830,25.36,毁,destroy
3831,25.36,头号,First number
3832,25.34,得知,Know
3833,25.34,乐观,optimism
3834,25.34,正当,Just
3835,25.34,出动,Dispatch
3836,25.33,工业生产,Industrial production
3837,25.32,哥,elder brother
3838,25.31,攻击,attack
3839,25.31,兴起,Rise
3840,25.31,暨,Cum
3841,25.29,不愿,Do not want
3842,25.28,破获,Cracked
3843,25.26,通货膨胀,inflation
3844,25.25,跳,Jump
3845,25.24,牲畜,livestock
3846,25.23,倡议,initiative
3847,25.22,不大,Not large
3848,25.21,高层,High-rise
3849,25.21,一万,Ten thousand
3850,25.18,转向,Steering
3851,25.17,直升机,Helicopter
3852,25.17,同行,Peer
3853,25.16,准,allow
3854,25.16,判决,judgment
3855,25.14,得主,Winner
3856,25.14,乐,fun
3857,25.12,学位,Bachelor of Science
3858,25.11,每人,Per person
3859,25.11,特区政府,Special Zone Government
3860,25.1,珠海,Zhuhai
3861,25.09,加剧,Intensify
3862,25.08,驻华,Stationed in China
3863,25.08,景点,Attraction
3864,25.08,李洪志,Li Hongzhi
3865,25.07,眼,Eye
3866,25.06,贩毒,Drug trafficking
3867,25.06,可是,But
3868,25.04,全能,All-around
3869,25.02,建材,Building materials
3870,25.02,财富,wealth
3871,24.99,座谈,Talk
3872,24.99,见到,See
3873,24.98,身,body
3874,24.98,收支,Revenue
3875,24.98,温度,temperature
3876,24.98,金字,Golden word
3877,24.97,宾馆,Guesthouse
3878,24.96,常常,Frequent
3879,24.96,贪污,corruption
3880,24.95,预报,forecast
3881,24.95,舍,Abandon
3882,24.94,农机,Agricultural machinery
3883,24.94,网点,Outlet
3884,24.94,欠,owe
3885,24.92,人道主义,Humanitarian
3886,24.9,每次,Each
3887,24.9,出资,Contribute
3888,24.9,下半场,Second half
3889,24.9,索马里,Somalia
3890,24.9,柬,Invite
3891,24.89,铁道部,Railway department
3892,24.89,往年,in previous years
3893,24.86,图片,picture
3894,24.85,反响,repercussions
3895,24.84,实验室,laboratory
3896,24.83,特征,feature
3897,24.83,3亿,300 million
3898,24.83,依,according to
3899,24.83,科委,Submission
3900,24.82,马上,immediately
3901,24.8,处在,Be in
3902,24.8,西欧,Western Europe
3903,24.78,齐,together
3904,24.75,民众,people
3905,24.75,他人,others
3906,24.74,异常,abnormal
3907,24.74,化石,fossil
3908,24.73,墨,ink
3909,24.73,二十一,twenty one
3910,24.73,车手,Driver
3911,24.72,女单,Women's singles
3912,24.72,癌症,cancer
3913,24.71,后勤,logistics
3914,24.7,达标,Meet the standard
3915,24.69,命运,destiny
3916,24.69,再度,once again
3917,24.67,议,Discuss
3918,24.67,权威,authority
3919,24.67,一方,One party
3920,24.64,熟悉,Familiar with
3921,24.63,国营,State
3922,24.63,结,Knot
3923,24.61,青海省,Qinghai Province
3924,24.6,景观,landscape
3925,24.59,分散,dispersion
3926,24.58,苗,Seedling
3927,24.54,回族,Hui
3928,24.52,展现,Show
3929,24.52,感情,emotion
3930,24.52,司令,commander
3931,24.52,名誉,reputation
3932,24.51,15万,150000
3933,24.49,意外,Accident
3934,24.49,迎战,Meet
3935,24.45,播种,sowing
3936,24.45,取,Pick
3937,24.45,客观,objective
3938,24.43,社会化,Socialization
3939,24.42,工程师,engineer
3940,24.42,幸福,happiness
3941,24.41,防御,defense
3942,24.41,公安部,Ministry of Public Security
3943,24.39,县政府,County government
3944,24.38,研究生,Postgraduate
3945,24.38,老年,elderly
3946,24.37,喜爱,favorite
3947,24.37,冒,Take
3948,24.36,刀,Knife
3949,24.35,有权,Right
3950,24.35,今年初,This year
3951,24.35,对待,treat
3952,24.34,防洪,Flood control
3953,24.34,照顾,take care of
3954,24.32,仪器,instrument
3955,24.31,县委,County party committee
3956,24.3,日本政府,Japanese government
3957,24.29,云,cloud
3958,24.27,彩电,Color TV
3959,24.27,农牧民,"farmer, Ranger"
3960,24.26,配备,Equip
3961,24.25,掀起,set off
3962,24.25,攻势,offensive
3963,24.24,雄厚,Strong
3964,24.23,艰巨,difficult
3965,24.23,油田,oilfield
3966,24.23,肥,Fat
3967,24.22,台独,Desk independence
3968,24.21,另有,Another
3969,24.2,竞技,sports
3970,24.19,早已,Already
3971,24.19,音像,Audio
3972,24.18,读书,read
3973,24.18,科尔,Cole
3974,24.18,空白,blank
3975,24.15,李登辉,Li Tenghui
3976,24.15,对外贸易,Foreign trade
3977,24.15,演讲,speech
3978,24.15,隧道,tunnel
3979,24.15,选民,voter
3980,24.13,钢材,Steel
3981,24.13,鸡,Chick
3982,24.12,卢旺达,Rwanda
3983,24.1,交给,Give
3984,24.1,同一,same
3985,24.07,涉嫌,Allegedly
3986,24.07,因特网,Internet
3987,24.07,信号,Signal
3988,24.07,棉,cotton
3989,24.05,取缔,ban
3990,24.05,其实,actually
3991,24.03,来信,Letter
3992,24.02,国产,Domestic production
3993,24.02,社会效益,Social benefit
3994,24.01,备战,Prepare for war
3995,24.01,前列,Forego
3996,23.98,厚,thick
3997,23.96,单项,Single item
3998,23.94,迎,welcome
3999,23.94,平时,usually
4000,23.93,改组,Reorganize
4001,23.93,招生,Enrollment
4002,23.91,桂林,Guilin
4003,23.91,蓬勃,vigorous
4004,23.9,意大利队,Italian team
4005,23.9,态势,situation
4006,23.89,份额,Share
4007,23.89,外籍,Foreign
4008,23.88,连日来,Come on
4009,23.87,校园,campus
4010,23.86,峰,peak
4011,23.86,当局,authorities
4012,23.85,拍摄,Shoot
4013,23.84,温暖,warmth
4014,23.81,营销,Marketing
4015,23.79,不变,constant
4016,23.79,暴雨,rainstorm
4017,23.79,来华,Come to China
4018,23.78,作家,writer
4019,23.78,脱贫,Poverty
4020,23.77,南宁,Nanning
4021,23.76,木材,wood
4022,23.75,纲领,Program
4023,23.73,阿尔及利亚,Algeria
4024,23.7,实事求是,Seeking truth from facts
4025,23.69,中将,Middleway
4026,23.69,盛会,Grand event
4027,23.67,法国队,French team
4028,23.67,历程,course
4029,23.66,长城,Great Wall
4030,23.63,爱心,Love
4031,23.62,中场,Midfield
4032,23.62,倡导,Advocate
4033,23.62,矿,mine
4034,23.62,退,retreat
4035,23.61,东亚,East Asia
4036,23.61,期货,futures
4037,23.61,内战,civil war
4038,23.6,兴奋剂,Stimulant
4039,23.57,衰退,decline
4040,23.57,救助,Rescue
4041,23.56,曲,song
4042,23.56,中国科学院,Chinese Academy of Sciences
4043,23.56,回收,Recycle
4044,23.56,女士,Miss
4045,23.56,此时,at this time
4046,23.53,消费品,consumer goods
4047,23.52,企事业,Enterprises
4048,23.52,十四,fourteen
4049,23.51,购,purchase
4050,23.51,坚实,solid
4051,23.51,精,Refined
4052,23.49,引人注目,striking
4053,23.46,首要,Primary
4054,23.45,素,White
4055,23.43,政府军,Government army
4056,23.42,中文,Chinese
4057,23.41,可喜,gratifying
4058,23.37,同类,similar
4059,23.37,平原,Plain
4060,23.37,右,right
4061,23.36,心中,In the heart
4062,23.36,国家教委,National education committee
4063,23.35,真实,reality
4064,23.35,从业,Work
4065,23.34,常年,All year round
4066,23.33,兴奋,excited
4067,23.32,高温,high temperature
4068,23.32,告别,bid farewell
4069,23.31,名义,name
4070,23.3,鉴于,Given
4071,23.3,收取,Charge
4072,23.29,千万,Millions
4073,23.28,发票,bill
4074,23.28,抑制,inhibition
4075,23.26,务,Affirm
4076,23.25,覆盖率,Coverage
4077,23.25,省份,province
4078,23.25,行情,Market
4079,23.24,收回,Reclaim
4080,23.24,所得,Income
4081,23.24,有时,sometimes
4082,23.23,学院,College
4083,23.22,民兵,militia
4084,23.22,奋战,Fight
4085,23.21,迟浩田,Chi Haotian
4086,23.21,旺,Prosperity
4087,23.21,敦促,urge
4088,23.21,题为,Entitle
4089,23.2,延伸,extend
4090,23.18,荒山,barren mountain
4091,23.17,塞浦路斯,Cyprus
4092,23.17,持久,lasting
4093,23.17,孙,Grandson
4094,23.16,努,Nut
4095,23.14,人家,People
4096,23.13,短缺,shortage
4097,23.13,签,sign
4098,23.12,沿线,Alongline
4099,23.11,自由泳,Freestyle
4100,23.11,降到,Drop
4101,23.11,逾,Oversee
4102,23.11,服务业,Service industry
4103,23.1,摄影,photography
4104,23.1,控,control
4105,23.1,可靠,reliable
4106,23.09,国家机关,State agency
4107,23.08,生产资料,Production information
4108,23.08,亩产,Mu
4109,23.07,须,Must
4110,23.06,赞成,In favor
4111,23.04,所长,Tired
4112,23.04,计,count
4113,23.04,吸烟,Smoke
4114,23.03,射门,Shot
4115,23.03,零点,Zero point
4116,23.01,上网,Internet
4117,23,跟踪,track
4118,22.97,梅,plum
4119,22.96,特使,special envoy
4120,22.96,融资,Financing
4121,22.96,准则,Criterion
4122,22.92,葡,Play
4123,22.91,报刊,press
4124,22.91,市中心,city ​​center
4125,22.91,经贸委,Economic and trade committee
4126,22.89,效力,Effectiveness
4127,22.88,之所以,Reason
4128,22.88,收益,income
4129,22.88,邹家华,Zou Jiahua
4130,22.87,运转,Run
4131,22.87,季,season
4132,22.86,千方百计,Do everything possible
4133,22.86,佩雷斯,Perez
4134,22.86,捷,Unfold
4135,22.86,圣,Holy
4136,22.86,收获,reward
4137,22.85,不顾,regardless of
4138,22.85,京剧,Peking opera
4139,22.84,全面发展,Comprehensive development
4140,22.83,有序,Orderly
4141,22.83,冲,rush
4142,22.83,郊区,suburbs
4143,22.83,动工,Start
4144,22.81,激光,laser
4145,22.8,阻止,Prevent
4146,22.8,归,Return
4147,22.79,11月,November
4148,22.79,穷,poverty
4149,22.77,日期,date
4150,22.76,预期,expected
4151,22.75,取代,replace
4152,22.74,政府部门,Government department
4153,22.74,收盘,Close
4154,22.74,公,male
4155,22.71,游行,procession
4156,22.71,扩,Expand
4157,22.7,恶劣,bad
4158,22.69,邮政,postal
4159,22.69,当事人,party
4160,22.69,战斗机,fighter
4161,22.69,论证,Demonstrate
4162,22.69,前后,Before and after
4163,22.66,心情,Feeling
4164,22.65,杜,Du
4165,22.64,乌鲁木齐,Urumqi
4166,22.64,企业界,Corporate circle
4167,22.64,客场,Farmkeeper
4168,22.64,整理,tidy
4169,22.62,待,treat
4170,22.61,简讯,Newsletter
4171,22.61,鸟,bird
4172,22.6,花卉,flowers
4173,22.6,均为,All
4174,22.58,上游,Upstream
4175,22.58,不应,Should not
4176,22.58,就此,In this way
4177,22.57,期望,expect
4178,22.56,教材,Teaching materials
4179,22.56,英语,English
4180,22.55,基金会,foundation
4181,22.54,室,room
4182,22.54,德・,Moral
4183,22.54,赵,Zhao
4184,22.54,下旬,Late year
4185,22.52,好评,Praise
4186,22.52,玻璃,grass
4187,22.52,队长,team leader
4188,22.52,教训,lesson
4189,22.52,扩展,Expand
4190,22.52,挖,dig
4191,22.49,迎来,Ushered in
4192,22.45,两会,Two sessions
4193,22.45,风景,landscape
4194,22.45,4月,April
4195,22.44,扬,Raise
4196,22.44,赋予,Give
4197,22.43,苹果,Apple
4198,22.43,政,Political
4199,22.43,穆,Mu
4200,22.42,斤,catty
4201,22.42,群体,group
4202,22.41,摩,Mosaka
4203,22.41,丈夫,husband
4204,22.4,表决,vote
4205,22.4,自愿,Volunteer
4206,22.4,场面,scene
4207,22.38,导向,guide
4208,22.38,整,all
4209,22.37,促,promote
4210,22.37,请求,ask
4211,22.36,官,official
4212,22.36,NBA,NBA
4213,22.35,植树,Tree planting
4214,22.35,香,delicious
4215,22.35,延安,Yan'an
4216,22.35,移交,transfer
4217,22.35,冶金,metallurgy
4218,22.32,津巴布韦,Zimbabwe
4219,22.32,育,Breeding
4220,22.31,看望,visit
4221,22.31,抢劫,robbery
4222,22.3,神,God
4223,22.29,民航,civil aviation
4224,22.29,仍是,Still
4225,22.27,中共中央政治局常委,Central Committee of the Communist Party of China
4226,22.26,中期,Medium term
4227,22.25,禁区,restricted area
4228,22.23,练习,Exercise
4229,22.23,收盘价,Closing price
4230,22.23,吧,Bar
4231,22.23,奇迹,Miracle
4232,22.2,客车,bus
4233,22.18,档次,Grade
4234,22.18,年轻人,young people
4235,22.17,席位,Seat
4236,22.17,象征,Symbolize
4237,22.16,解放思想,Liberation ideology
4238,22.16,起点,starting point
4239,22.16,否认,deny
4240,22.15,怀,Pregnant
4241,22.14,聚集,Gather
4242,22.14,结算,Settlement
4243,22.13,阿尔巴尼亚,Albania
4244,22.13,商业银行,commercial Bank
4245,22.11,步入,Entries
4246,22.11,不到,Not
4247,22.11,很少,rare
4248,22.11,付出,pay
4249,22.1,采,Pick
4250,22.1,巴拿马,Panama
4251,22.09,扭转,Reverse
4252,22.09,中科院,Academy
4253,22.09,点球,Penalty
4254,22.08,大业,great cause
4255,22.07,大堤,Big embankment
4256,22.06,对策,Countermeasure
4257,22.06,美方,US
4258,22.05,施,Give
4259,22.05,期待,expect
4260,22.04,运送,transport
4261,22.03,节省,save
4262,22.03,研讨,Discussion
4263,22.03,秘密,secret
4264,22.03,关怀,care
4265,22.02,典礼,ceremony
4266,22.01,阵地,position
4267,22.01,暂,temporarily
4268,22.01,互联网,the Internet
4269,22.01,围,Circumference
4270,22,这时,At this time
4271,21.99,纪念馆,memorial
4272,21.98,频频,Frequent
4273,21.98,2000万,20000000
4274,21.96,徐,Unfold
4275,21.95,迫切,urgent
4276,21.93,景象,scene
4277,21.93,上千,Thousands of
4278,21.92,分类,Classification
4279,21.92,古老,ancient
4280,21.92,悉尼,Sydney
4281,21.92,试图,attempt
4282,21.91,全线,Whole line
4283,21.91,邻国,neighboring countries
4284,21.9,美丽,beauty
4285,21.9,悠久,long
4286,21.9,器材,equipment
4287,21.9,中央电视台,CCTV
4288,21.88,接力,relay
4289,21.87,举,Lift
4290,21.86,签约,Sign a contract
4291,21.86,基本建设,Basic construction
4292,21.85,情报,intelligence
4293,21.85,证据,evidence
4294,21.84,替代,Replace
4295,21.84,七五,Seventh day
4296,21.84,冷,cold
4297,21.84,村庄,village
4298,21.84,诸多,Many
4299,21.84,看来,Look
4300,21.83,公告,announcement
4301,21.82,日内瓦,Geneva
4302,21.81,干线,Trunk
4303,21.81,苏州,Suzhou
4304,21.81,即可,I.e.
4305,21.81,对口,Counterlet
4306,21.81,竹,bamboo
4307,21.8,箱,box
4308,21.8,用人,Employ
4309,21.79,深深,deeply
4310,21.77,民主党派,Democratic parties
4311,21.75,互访,Interpretation
4312,21.75,冬奥会,Winter Olympics
4313,21.73,部委,Minister
4314,21.72,法庭,court
4315,21.7,有望,Be expected
4316,21.69,柔道,judo
4317,21.69,增至,Increasing
4318,21.69,庆,Celebrate
4319,21.67,5亿,500 million
4320,21.66,薄弱,weak
4321,21.65,话说,Say
4322,21.65,一生,lifetime
4323,21.64,角,Horn
4324,21.64,封闭,Close
4325,21.62,生效,Take effect
4326,21.62,潮,tide
4327,21.6,义,righteous
4328,21.59,租赁,lease
4329,21.59,堆,heap
4330,21.59,担保,guarantee
4331,21.59,出土,Unearthed
4332,21.59,宏伟,Magnificent
4333,21.58,坚定不移,Unswerving
4334,21.56,创下,Set
4335,21.55,景区,Scenic spot
4336,21.54,厄,Desperate
4337,21.51,不出,Not
4338,21.5,旅行社,Travel agency
4339,21.5,梦,dream
4340,21.5,上空,Overhead
4341,21.5,递增,Increment
4342,21.48,视为,Deserve
4343,21.47,柏林,Berlin
4344,21.47,事宜,Matter
4345,21.46,纳税,Taxation
4346,21.45,都会,All
4347,21.45,领,collar
4348,21.44,驾驶,drive
4349,21.44,进度,schedule
4350,21.44,截止,Cut off
4351,21.42,古城,Ancient city
4352,21.42,终,end
4353,21.41,青藏,Qingche
4354,21.4,阿里,Ali
4355,21.4,上月,last month
4356,21.38,品质,quality
4357,21.37,签定,Sign
4358,21.37,留学生,Student
4359,21.36,港币,Holy dollar
4360,21.36,读,read
4361,21.34,董建华,Dong Jianhua
4362,21.34,百姓,People
4363,21.33,小组赛,group matches
4364,21.33,显然,Obvious
4365,21.32,总公司,head office
4366,21.32,传递,transfer
4367,21.32,拳击,boxing
4368,21.31,贵,expensive
4369,21.31,备忘录,memorandum
4370,21.31,发动机,engine
4371,21.3,岛内,Island
4372,21.29,搞活,Make life
4373,21.29,丧生,Death
4374,21.28,上百,Hundred
4375,21.28,假冒伪劣,fake
4376,21.27,压缩,compression
4377,21.26,今,this
4378,21.25,帐,account
4379,21.25,下滑,Decline
4380,21.25,车站,station
4381,21.25,足够,enough
4382,21.24,白宫,White House
4383,21.24,上岗,Laid
4384,21.21,拍,shoot
4385,21.21,从未,Never
4386,21.2,英格兰队,England team
4387,21.2,阿根廷队,Argentine team
4388,21.2,消灭,wipe out
4389,21.19,饲养,Raise
4390,21.17,重复,repeat
4391,21.14,总收入,Total revenue
4392,21.13,困扰,Trouble
4393,21.13,总产,Total production
4394,21.13,略,slightly
4395,21.13,一举,In one fell swoop
4396,21.13,反击,Counterattack
4397,21.12,8万,80000
4398,21.11,一再,repeatedly
4399,21.11,禁毒,Anti-drug
4400,21.11,诊断,diagnosis
4401,21.1,民用,Civil
4402,21.1,没收,Confiscate
4403,21.09,讲座,Lecture
4404,21.09,节能,Energy saving
4405,21.08,正常化,normalization
4406,21.06,海南省,Hainan
4407,21.05,卫冕,Defend
4408,21.05,游击队,Guerrilla
4409,21.04,认证,Certification
4410,21.03,名人,celebrity
4411,21.02,家电,Appliance
4412,21.01,扩散,diffusion
4413,21.01,专程,Specialty
4414,21.01,多方面,Multi-faceted
4415,20.99,大都,Most
4416,20.99,本来,originally
4417,20.98,浪费,waste
4418,20.97,外国人,foreigner
4419,20.97,人为,Artificial
4420,20.97,二期,Second phase
4421,20.97,全国性,national
4422,20.96,三资企业,Three-funded enterprise
4423,20.94,党风,Party style
4424,20.94,三资,Three capital
4425,20.94,春运,Spring Festival
4426,20.94,书法,calligraphy
4427,20.93,问世,come out
4428,20.93,势,Trend
4429,20.92,人选,Candidate
4430,20.91,填补,Fill
4431,20.9,拖欠,Arrears
4432,20.9,递交,submit
4433,20.89,炸弹,bomb
4434,20.88,犯,Criminal
4435,20.88,海口,Haikou
4436,20.88,饮料,Drink
4437,20.88,常规,conventional
4438,20.88,挖掘,Excavate
4439,20.87,哪,where
4440,20.86,歌曲,song
4441,20.86,研究员,researcher
4442,20.86,周恩来,Zhou Enlai
4443,20.85,枪,gun
4444,20.85,自治州,Autonomous state
4445,20.84,乡亲,Foliage
4446,20.83,代表队,Delegation
4447,20.82,模拟,simulation
4448,20.8,杆,Rod
4449,20.79,外币,foreign currency
4450,20.78,十四大,Fourteen
4451,20.78,提问,Ask questions
4452,20.78,空调,air conditioner
4453,20.77,急剧,sharp
4454,20.77,武警,Armed police
4455,20.77,盐,Salt
4456,20.76,缓慢,slow
4457,20.76,时报,Dativity
4458,20.75,总统府,presidential palace
4459,20.74,自豪,pride
4460,20.73,反而,instead
4461,20.73,尽早,as soon as possible
4462,20.73,迫使,force
4463,20.72,作者,author
4464,20.72,济,Mysterious
4465,20.71,下达,Get down
4466,20.71,客运,Passenger
4467,20.7,也门,Yield
4468,20.69,二级,Secondary
4469,20.69,士,scholar
4470,20.68,生猪,Pig
4471,20.68,希拉克,Chirac
4472,20.68,响,ring
4473,20.67,小将,Teenager
4474,20.67,军官,officer
4475,20.67,并非,Not
4476,20.67,lt,LT
4477,20.66,争议,dispute
4478,20.66,3000万,30 million
4479,20.63,撤销,Revoke
4480,20.63,乌干达,Uganda
4481,20.63,合资企业,Joint venture
4482,20.63,多元化,Diversification
4483,20.63,不时,Visit from time to time
4484,20.61,想到,think
4485,20.6,弱,weak
4486,20.6,招,trick
4487,20.59,一路,All the way
4488,20.59,五一,May 1
4489,20.59,含有,contain
4490,20.58,火车,train
