Frequency,Number,Vocabulary,Translation,Pinyin
1382,86.04,几乎,almost,jīhū
1383,86.0,克林顿,Clinton,kè
1384,85.95,高兴,Happy,gāoxìng
1385,85.91,萨,Sa,sà
1386,85.89,展览,exhibition,zhǎnlǎn
1387,85.75,非,No,fēi
1388,85.74,第五,fifth,dìwǔ
1389,85.61,工资,salary,gōngzī
1390,85.58,动物,animal,dòngwù
1391,85.43,奖,prize,jiǎng
1392,85.36,走向,Go,zǒuxiàng
1393,85.33,带动,drive,dàidòng
1394,85.32,势头,momentum,shìtóu
1395,85.13,物资,Material,wùzī
1396,85.12,与此同时,at the same time,yǔcǐ-tóngshí
1397,84.97,观念,Concept,guānniàn
1398,84.95,趋势,trend,qūshì
1399,84.91,满意,satisfy,mǎnyì
1400,84.91,条约,treaty,tiáoyuē
1401,84.83,离开,Leave,líkāi
1402,84.81,日元,JPY,rìyuán
1403,84.66,大学,University,dàxué
1404,84.59,太,too,tài
1405,84.56,民,civil,mín
1406,84.51,证明,prove,zhèngmíng
1407,84.42,深,deep,shēn
1408,84.4,注意,Notice,zhùyì
1409,84.39,区域,area,qūyù
1410,84.36,防止,prevent,fángzhǐ
1411,84.34,协定,agreement,xiédìng
1412,84.33,依靠,rely on,yīkào
1413,84.23,主管,director,zhǔguǎn
1414,84.2,媒体,media,méitǐ
1415,84.08,少数民族,minority,shǎoshù
1416,83.86,访,visit,fǎng
1417,83.86,主动,initiative,zhǔdòng
1418,83.83,城镇,town,chéngzhèn
1419,83.75,中华人民共和国,People's Republic of China,Zhōnɡhuá
1420,83.64,一天,one day,yītiān
1421,83.56,热情,enthusiasm,rèqíng
1422,83.55,党中央,Party Central Committee,dǎngzhōngyāng
1423,83.51,始终,Always,shǐzhōng
1424,83.45,节目,programme,jiémù
1425,83.25,排名,Rank,páimíng
1426,83.18,朱,Chin,zhū
1427,83.1,药品,drug,yàopǐn
1428,82.89,考虑,consider,kǎolǜ
1429,82.84,并不,Not,bīng
1430,82.81,评价,Evaluation,píngjià
1431,82.65,击败,beat,jībài
1432,82.5,军,military,jūn
1433,82.29,主权,sovereignty,zhǔquán
1434,82.19,部署,deploy,bùshǔ
1435,82.1,有力,powerful,yǒulì
1436,82.0,华,magnificent,huá
1437,81.97,高校,College,gāoxiào
1438,81.95,机场,Airport,jīchǎng
1439,81.88,年轻,young,niánqīng
1440,81.74,新型,New type,xīnxíng
1441,81.73,草案,draft,cǎo'àn
1442,81.71,展示,exhibit,zhǎnshì
1443,81.7,北,North,běi
1444,81.43,当年,then,dāngnián
1445,81.32,瑞典,Sweden,Ruìdiǎn
1446,81.26,勒,Be in turn,lè
1447,81.23,来说,Convinced,lái
1448,81.0,庆祝,celebrate,qìngzhù
1449,80.96,满足,satisfy,mǎnzú
1450,80.94,西方,The west,xīfāng
1451,80.94,先生,gentlemen,xiānsheng
1452,80.93,预算,Budget,yùsuàn
1453,80.78,度,Spend,dù
1454,80.77,墨西哥,Mexico,Mòxīɡē
1455,80.71,请,Please,qǐng
1456,80.71,同胞,Compatriot,tóngbāo
1457,80.47,春节,Spring Festival,chūnjié
1458,80.28,差,Difference,chā
1459,80.26,总数,total,zǒngshù
1460,80.18,相关,Associated,xiāngguān
1461,80.11,字,Character,zì
1462,80.09,跨,Cross,kuà
1463,79.99,走私,smuggling,zǒusī
1464,79.9,赛事,Event,sàishì
1465,79.89,税收,tax,shuìshōu
1466,79.77,很快,soon,hěn
1467,79.71,截至,As of,jiézhì
1468,79.62,最多,most,zuìduō
1469,79.55,围绕,around,wéirào
1470,79.51,前来,Come back,qiánlái
1471,79.48,感谢,grateful,gǎnxiè
1472,79.45,双,pair,shuāng
1473,79.42,相比,compared to,xiāngbǐ
1474,79.31,阿富汗,Afghanistan,Āfùhàn
1475,79.3,以前,before,yǐqián
1476,79.22,最好,most,zuìhǎo
1477,79.17,三峡,Three Gorges,Sānxiá
1478,79.12,不得,Not allow,bùdé
1479,79.01,学者,scholar,xuézhě
1480,78.96,引导,guide,yǐndǎo
1481,78.76,边,side,biān
1482,78.53,态度,manner,tàidu
1483,78.5,移民,migrant,yímín
1484,78.49,做到,Do,zuò
1485,78.47,难以,difficult,nányǐ
1486,78.47,越南,Vietnam,Yuènán
1487,78.47,保,Save,bǎo
1488,78.41,费用,cost,fèiyòng
1489,78.29,搞好,Do well,ɡǎohǎo
1490,78.23,图,picture,tú
1491,78.08,亿,100 million,yì
1492,78.08,外贸,foreign trade,wàimào
1493,78.04,开幕式,Opening ceremony,kāimùshì
1494,77.93,盘,plate,pán
1495,77.89,岗位,post,gǎngwèi
1496,77.79,沿海,coastal,yánhǎi
1497,77.73,象,elephant,xiàng
1498,77.68,网,network,wǎng
1499,77.65,职务,Position,zhíwù
1500,77.56,只能,Can only,zhī
1501,77.55,承包,contract,chéngbāo
1502,77.54,蒂,Ti,dì
1503,77.54,半决赛,Semi-final,bànjuésài
1504,77.51,核心,core,héxīn
1505,77.51,男,male,nán
1506,77.41,境内,Within the country,jìngnèi
1507,77.39,还要,Still,hái
1508,77.32,回,Back,huí
1509,77.31,掌握,master,zhǎngwò
1510,77.29,允许,allow,yǔnxǔ
1511,77.08,拒绝,Refuse,jùjué
1512,77.03,化,change,huā
1513,76.97,抓住,catch,zhuā
1514,76.97,亏损,Loss,kuīsǔn
1515,76.89,办理,Handle,bànlǐ
1516,76.7,普通,ordinary,pǔtōng
1517,76.66,抓好,Do well,zhuā
1518,76.55,大幅度,Large,dàfúdù
1519,76.47,尊重,respect,zūnzhòng
1520,76.41,生产总值,gross product,shēnɡchǎn
1521,76.4,各方,Partition,gèfāng
1522,76.37,修改,Revise,xiūgǎi
1523,76.3,新加坡,Singapore,Xīnjiāpō
1524,76.22,推行,Implement,tuīxíng
1525,76.21,季度,Quarter,jìdù
1526,76.21,10万,"100,000",jìdù
1527,76.16,打破,break in,dǎpò
1528,76.14,海,Ocean,hǎi
1529,76.11,刚,just,gāng
1530,76.06,领土,territory,lǐngtǔ
1531,76.03,大部分,most,dàbùfen
1532,76.0,查处,Investigate,cháchǔ
1533,75.88,层次,level,céngcì
1534,75.8,卖,Sell,mài
1535,75.77,灾区,disaster area,zāiqū
1536,75.76,强化,strengthen,qiánghuà
1537,75.58,员,member,yuán
1538,75.53,帕,Pa,pà
1539,75.53,大中型,Large and medium-sized,dà
1540,75.51,莱,Loose,lái
1541,75.42,成效,Achievement,chéngxiào
1542,75.38,首相,prime minister,shǒuxiàng
1543,75.28,东部,east,dōngbù
1544,75.25,水利,Water conservancy,shuǐlì
1545,75.23,对话,dialogue,duìhuà
1546,75.23,全年,annual,quánnián
1547,75.23,主教练,Main coach,zhǔjiàoliàn
1548,75.17,式,Mode,shì
1549,75.14,机械,mechanical,jīxiè
1550,75.02,整顿,Rectify,zhěngdùn
1551,74.98,形象,Image,xíngxiàng
1552,74.92,精神文明,Spiritual civilization,jīngshén
1553,74.85,总结,Summarize,zǒngjié
1554,74.76,乌克兰,Ukraine,Wūkèlán
1555,74.72,愿意,willing,yuànyì
1556,74.58,利润,profit,lìrùn
1557,74.57,受伤,Injuried,shòushāng
1558,74.54,投资者,investor,tóuzī
1559,74.52,优惠,discount,yōuhuì
1560,74.45,中国共产党,Communist Party of China,Zhōnɡɡuó
1561,74.43,来访,Visit,láifǎng
1562,74.39,党委,party committee,dǎngwěi
1563,74.37,运用,use,yùnyòng
1564,74.32,除了,Apart from,chúle
1565,74.26,刚刚,just,gānggāng
1566,74.06,途径,way,tújìng
1567,73.97,未能,Failed,wèinéng
1568,73.89,发布,release,fābù
1569,73.88,主张,Advocate,zhǔzhāng
1570,73.87,印尼,Indonesia,yìn
1571,73.8,到了,arrive,dàoliǎor
1572,73.76,苏联,Soviet Union,Sūlián
1573,73.6,各自,respective,gèzì
1574,73.54,农产品,Agricultural product,nóngchǎnpǐn
1575,73.53,通,Pass,tōng
1576,73.49,一百,one hundred,yī
1577,73.44,利率,interest rate,lìlǜ
1578,73.42,广场,square,guǎngchǎng
1579,73.38,毒品,poison,dúpǐn
1580,73.35,大赛,Contest,dàsài
1581,73.35,决策,decision making,juécè
1582,73.33,电力,electricity,diànlì
1583,73.33,解放,liberation,jiěfàng
1584,73.28,古巴,Cuban,Gǔbā
1585,73.22,往,Past,wǎng
1586,73.16,欧,Europe,ōu
1587,73.09,经常,frequently,jīngcháng
1588,72.97,接待,Reception,jiēdài
1589,72.96,启动,start up,qǐdòng
1590,72.93,洛,Luo,luò
1591,72.91,土,earth,tǔ
1592,72.9,费,fee,fèi
1593,72.86,唯一,only,wéiyī
1594,72.8,权力,that power,quánlì
1595,72.79,对方,other side,duìfāng
1596,72.77,拿,take,ná
1597,72.76,必要,necessary,bìyào
1598,72.68,甲,First,jiǎ
1599,72.66,找到,turn up,zhǎo
1600,72.66,紧急,urgent,jǐnjí
1601,72.64,乱,chaos,luàn
1602,72.42,进攻,attack,jìngōng
1603,72.39,二十,twenty,èr
1604,72.31,估计,estimate,gūjì
1605,72.3,限制,limit,xiànzhì
1606,72.24,提前,in advance,tíqián
1607,72.24,热,hot,rè
1608,72.22,人大,People's Congress,réndà
1609,72.18,法制,legal system,fǎzhì
1610,72.06,云南,Yunnan,Yúnnán
1611,72.04,权利,right,quánlì
1612,71.91,说明,instruction,shuōmíng
1613,71.86,一部分,Part,yī
1614,71.85,经费,Funding,jīngfèi
1615,71.82,绿色,green,lǜsè
1616,71.74,如下,as follows,rúxià
1617,71.64,黄河,Yellow River,huánghé
1618,71.6,清理,Clean up,qīnglǐ
1619,71.59,州,State,zhōu
1620,71.56,一半,half,yībàn
1621,71.48,人权,human rights,rénquán
1622,71.36,承认,admit,chéngrèn
1623,71.31,协会,association,xiéhuì
1624,71.3,科索沃,Kosovo,kē
1625,71.18,至少,At least,zhìshǎo
1626,71.16,最佳,optimal,zuìjiā
1627,71.12,村民,Villagers,cūnmín
1628,71.11,球迷,fan,qiúmí
1629,71.06,北部,North,běibù
1630,71.06,合,combine,gě
1631,71.02,机遇,opportunity,jīyù
1632,70.96,审议,Consider,shěnyì
1633,70.82,只是,only,zhǐshì
1634,70.79,金额,Amount,jīn'é
1635,70.57,方便,convenient,fāngbiàn
1636,70.54,棉花,cotton,miánhua
1637,70.52,海洋,Ocean,hǎiyáng
1638,70.51,手术,Operation,shǒushù
1639,70.47,足球赛,Football match,zúqiúsài
1640,70.41,明天,tomorrow,míngtiān
1641,70.35,面向,Facing,miànxiàng
1642,70.32,伙伴,partner,huǒbàn
1643,70.31,交,pay,jiāo
1644,70.24,派出,send,pài
1645,70.24,辽宁,Liaoning,Liáonínɡ
1646,70.23,创作,creation,chuàngzuò
1647,70.11,服装,clothing,fúzhuāng
1648,70.09,数据,data,shùjù
1649,70.04,总书记,General secretary,zǒnɡshūji
1650,70.02,矛盾,contradiction,máodùn
1651,70.02,权益,rights and interests,quányì
1652,69.95,谈话,conversation,tánhuà
1653,69.9,权,right,quán
1654,69.86,个体,individual,gètǐ
1655,69.84,阿根廷,Argentina,Āɡēntínɡ
1656,69.61,业,industry,yè
1657,69.59,海湾,bay,hǎiwān
1658,69.53,新增,New,xīn
1659,69.49,违反,violation,wéifǎn
1660,69.49,咨询,consult,zīxún
1661,69.48,申办,Bid,shēnbàn
1662,69.44,沙,sand,shā
1663,69.43,有人,Someone,yǒu
1664,69.41,工商,Industrial and commercial,gōngshāng
1665,69.32,土耳其,Turkey,Tǔ'ěrqí
1666,69.14,迪,Di,dí
1667,69.13,会长,President,huìzhǎnɡ
1668,69.12,爱,Love,ài
1669,69.1,八十,eighty,bā
1670,68.92,排,Row,pái
1671,68.82,阿拉法特,Arafat,ālā
1672,68.58,模式,model,móshì
1673,68.49,公民,citizen,gōngmín
1674,68.49,重庆,Chongqing,Chónɡqìnɡ
1675,68.48,票,ticket,piào
1676,68.48,全国人大常委会,NPC Standing Committee,Quánɡuó
1677,68.47,笔,Pen,bǐ
1678,68.43,病,sick,bìng
1679,68.37,查,check,chá
1680,68.33,预测,predict,yùcè
1681,68.3,主体,main body,zhǔtǐ
1682,68.28,上海市,Shanghai,Shànɡhǎi
1683,68.24,主题,theme,zhǔtí
1684,68.2,予以,Give,yǔyǐ
1685,68.18,文艺,Literary art,wényì
1686,68.17,残疾人,Disabled,cánjí
1687,68.14,李,plum,lǐ
1688,68.11,风险,risk,fēngxiǎn
1689,68.08,下跌,Fall,xiàdiē
1690,68.03,收到,receive,shōudào
1691,68.03,她们,they,tāmen
1692,67.96,私营,private,sīyíng
1693,67.86,争夺,Compete,zhēngduó
1694,67.84,俱乐部,club,jùlèbù
1695,67.83,B,B,b
1696,67.83,公共,public,gōnggòng
1697,67.8,网球,tennis,wǎngqiú
1698,67.78,宁夏,Ningxia,Nínɡxià
1699,67.78,软件,software,ruǎnjiàn
1700,67.66,而是,Why,ér
1701,67.59,─,-,ér
1702,67.53,问,ask,wèn
1703,67.5,特区,Special Zone,tèqū
1704,67.46,禁止,prohibit,jìnzhǐ
1705,67.42,潜力,potential,qiánlì
1706,67.3,专项,Special,zhuānxiàng
1707,67.22,中方,China,zhōng
1708,67.2,物质,substance,wùzhì
1709,67.07,履行,fulfill,lǚxíng
1710,67.07,座谈会,forum,zuòtánhuì
1711,67.03,宪法,constitution,xiànfǎ
1712,67.02,总体,overall,zǒngtǐ
1713,66.93,超,overtake,chāo
1714,66.89,当选,Elected,dāngxuǎn
1715,66.88,职能,Functions,zhínéng
1716,66.81,出发,Set off,chūfā
1717,66.77,众多,numerous,zhòngduō
1718,66.74,洪水,flood,hóngshuǐ
1719,66.65,晚上,night,wǎnshang
1720,66.57,战士,warrior,zhànshì
1721,66.53,管,Tube,guǎn
1722,66.42,带领,lead,dàilǐng
1723,66.35,民间,folk,mínjiān
1724,66.34,做法,practice,zuòfǎ
1725,66.17,文章,article,wénzhāng
1726,66.05,警察,Policemen,jǐngchá
1727,66.04,立方米,cubic meter,lìfāngmǐ
1728,66.0,产权,property,chǎnquán
1729,65.99,发言,Speech,fāyán
1730,65.94,制裁,Sanctions,zhìcái
1731,65.92,议员,Parliamentary,yìyuán
1732,65.91,现实,Reality,xiànshí
1733,65.9,腐败,corruption,fǔbài
1734,65.85,发射,emission,fāshè
1735,65.84,恐怖,fear,kǒngbù
1736,65.83,登记,Register,dēngjì
1737,65.82,几十,Dozen,jī
1738,65.8,波兰,Poland,Bōlán
1739,65.79,旨在,Aim,zhǐzài
1740,65.73,海南,Hainan,Hǎinán
1741,65.7,集,set,jí
1742,65.68,培育,Cultivate,péiyù
1743,65.62,位置,Location,wèizhì
1744,65.59,然后,Then,ránhòu
1745,65.57,列车,train,lièchē
1746,65.51,主场,Home,zhǔchǎng
1747,65.48,合法,legitimate,héfǎ
1748,65.39,基因,Gene,jīyīn
1749,65.38,层,Floor,céng
1750,65.38,流通,Circulation,liútōng
1751,65.37,叶利钦,Yeltsin,xié
1752,65.35,大学生,College Students,dàxuéshēng
1753,65.32,飞行,flight,fēixíng
1754,65.32,平方公里,Square mile,píngfāng
1755,65.32,拉美,Latin America,lāměi
1756,65.32,总经理,General manager,zǒngjīnglǐ
1757,65.31,报纸,newspaper,bàozhǐ
1758,65.3,逐渐,gradually,zhújiàn
1759,65.29,钱其琛,Qian Qichen,qián
1760,65.2,河南,Henan,Hénán
1761,65.17,那些,Those ones,nàxiē
1762,65.17,尚,Yet,shàng
1763,65.15,遭到,Suffer,zāodào
1764,65.09,不再,no longer,bùzài
1765,65.08,船,ferry,chuán
1766,65.06,安置,Resettle,ānzhì
1767,65.05,合资,joint venture,hézī
1768,65.01,牌,Card,pái
1769,64.95,扶持,Support,fúchí
1770,64.95,广东省,Guangdong Province,Guǎnɡdōnɡ
1771,64.91,全国政协,National Committee,quánguó
1772,64.81,渠道,channel,qúdào
1773,64.77,找,Find,zhǎo
1774,64.77,对外开放,Open,duìwài
1775,64.76,投产,Put into production,tóuchǎn
1776,64.63,小麦,wheat,xiǎomài
1777,64.61,难民,refugee,nànmín
1778,64.55,开通,Open,kāitōng
1779,64.52,耕地,arable land,gēngdì
1780,64.5,绿化,Green,lǜhuà
1781,64.46,总产值,Total output value,zǒngchǎnzhí
1782,64.45,充满,full,chōngmǎn
1783,64.34,研讨会,seminar,yántǎo
1784,64.22,番,Darther,fān
1785,64.21,导弹,missile,dǎodàn
1786,64.18,分配,distribute,fēnpèi
1787,64.07,防治,Prevention,fángzhì
1788,64.06,率领,Lead,shuàilǐng
1789,64.01,学术,Academic,xuéshù
1790,63.88,所以,so,suǒyǐ
1791,63.86,博,Blog,bó
1792,63.8,末,end,mò
1793,63.74,积极性,Enthusiasm,jījíxìng
1794,63.71,发动,launch,fādòng
1795,63.71,开拓,open up,kāituò
1796,63.68,重申,Reiterate,chóngshēn
1797,63.67,知道,knowledge,zhīdào
1798,63.64,马来西亚,Malaysia,Mǎláixīyà
1799,63.63,农户,Farmer,nónghù
1800,63.6,跑,run,páo
1801,63.6,缺乏,lack,quēfá
1802,63.56,外电,External electricity,wàidiàn
1803,63.55,避免,avoid,bìmiǎn
1804,63.52,和谈,Peace talk,hétán
1805,63.49,称号,title,chēnghào
1806,63.48,游泳,swim,yóuyǒng
1807,63.45,广播,broadcast,guǎngbō
1808,63.43,湖南,Hunan,Húnán
1809,63.35,上市,Listed,shàngshì
1810,63.34,真,real,zhēn
1811,63.3,新建,New construction,xīnjiàn
1812,63.29,财产,property,cáichǎn
1813,63.29,百分点,percentage point,bǎifēndiǎn
1814,63.29,奥运,Olympics,Àoyùn
1815,63.26,艾滋病,AIDS,àizībìng
1816,63.21,南联盟,Nanxian League,nā
1817,63.2,中华民族,Chinese nation,zhōnghuá
1818,63.18,车辆,vehicle,chēliàng
1819,63.09,边境,border,biānjìng
1820,62.97,病人,patient,bìngrén
1821,62.92,升,Rise,shēng
1822,62.82,国防,national defense,guófáng
1823,62.81,消除,eliminate,xiāochú
1824,62.81,案,case,àn
1825,62.75,大选,general election,dàxuǎn
1826,62.73,发放,Discharge,fāfàng
1827,62.7,环,ring,huán
1828,62.6,义务,obligation,yìwù
1829,62.6,协商,Negotiate,xiéshāng
1830,62.55,爆炸,explode,bàozhà
1831,62.54,黎巴嫩,Lebanon,Líbānèn
1832,62.5,巩固,Consolidate,gǒnggù
1833,62.41,福建,Fujian,Fújiàn
1834,62.4,大批,Large number,dàpī
1835,62.38,作风,style,zuòfēng
1836,62.38,年龄,age,niánlíng
1837,62.36,宏观,Macroscope,hóngguān
1838,62.35,第六,sixth,dì
1839,62.32,南斯拉夫,Yugoslavia,Nánsīlāfū
1840,62.3,电影,Movie,diànyǐng
1841,62.27,磋商,Consultation,cuōshāng
1842,62.16,如此,in this way,rúcǐ
1843,62.12,医生,Doctor,yīshēng
1844,62.11,各族,Various respects,gě
1845,62.08,公正,just,gōngzhèng
1846,62.07,公开赛,Public game,gōngkāisài
1847,62.06,文,Arts,wén
1848,62.05,继,Follow,jì
1849,62.0,利税,Taxation,lìshuì
1850,61.96,地震,earthquake,dìzhèn
1851,61.94,构成,constitute,gòuchéng
1852,61.8,并且,and,bìngqiě
1853,61.78,巴黎,Paris,Bālí
1854,61.74,属,Belong,shǔ
1855,61.71,承诺,promise,chéngnuò
1856,61.71,山东省,Shandong Province,Shāndōnɡ
1857,61.7,骨干,backbone,gǔgàn
1858,61.68,差距,gap,chājù
1859,61.66,同样,same,tóngyàng
1860,61.61,联邦,federal,liánbāng
1861,61.43,不要,do not want,bùyào
1862,61.43,十几,More than a dozen,shí
1863,61.34,记,remember,jì
1864,61.34,十五,fifteen,shí
1865,61.31,菲,Phenix,fēi
1866,61.2,公报,Bulletin,gōngbào
1867,61.15,良,good,liáng
1868,61.06,深刻,profound,shēnkè
1869,61.03,荷兰,Netherlands,Hélán
1870,60.98,广告,advertise,guǎnggào
1871,60.96,心,Heart,xīn
1872,60.96,团,group,tuán
1873,60.95,有利,favorable,yǒulì
1874,60.91,随后,Subsequently,suíhòu
1875,60.89,以便,so that,yǐbiàn
1876,60.8,今日,today,jīnrì
1877,60.8,见,See,jiàn
1878,60.72,树,Tree,shù
1879,60.71,相应,corresponding,xiāngyìng
1880,60.7,优化,optimization,yōuhuà
1881,60.68,工厂,factory,gōngchǎng
1882,60.64,健身,fitness,jiànshēn
1883,60.61,工作者,Worker,ɡōnɡzuòzhě
1884,60.59,历史上,in history,lìshǐ
1885,60.59,与会,Attend,yùhuì
1886,60.56,红,Red,gōng
1887,60.52,增,increase,zēng
1888,60.5,曼,Man,màn
1889,60.49,纽约,New York,Niǔyuē
1890,60.45,团长,Head of the head,tuánzhǎnɡ
1891,60.44,产,Produce,chǎn
1892,60.37,河北省,Hebei Province,Héběi
1893,60.34,高原,plateau,gāoyuán
1894,60.27,降,drop,jiàng
1895,60.24,彻底,thorough,chèdǐ
1896,60.21,吸入,Inhale,xīrù
1897,60.19,依然,still,yīrán
1898,60.18,南京,Nanjing,Nánjīnɡ
1899,60.05,程序,program,chéngxù
1900,60.04,叙利亚,Syria,Xùlìyà
1901,60.03,旅游业,Tourism,lǚyóuyè
1902,60.02,虽,although,suī
1903,60.02,工艺,Craft,gōngyì
1904,60.0,市政府,City Hall,shìzhènɡfǔ
1905,60.0,石,stone,dàn
1906,59.89,率先,Take the lead,shuàixiān
1907,59.87,面,noodle,miàn
1908,59.81,芬兰,Finland,Fēnlán
1909,59.76,波,Wave,bō
1910,59.66,回答,answer,huídá
1911,59.62,增产,Increasing production,zēngchǎn
1912,59.56,亚军,runner up,yàjūn
1913,59.53,加上,Plus,jiāshànɡ
1914,59.5,法院,Court,fǎyuàn
1915,59.49,相继,Successively,xiāngjì
1916,59.45,竞赛,competition,jìngsài
1917,59.42,迎接,meet,yíngjiē
1918,59.39,一体化,Integrated,yītǐhuà
1919,59.39,下来,Come down,xiàlái
1920,59.34,富,rich,fù
1921,59.31,名列,Rank,míng
1922,59.2,颗粒物,particulates,kēlìwù
1923,59.2,身体,Body,shēntǐ
1924,59.19,维持,maintain,wéichí
1925,59.17,气候,climate,qìhòu
1926,59.14,授予,Grant,shòuyǔ
1927,59.05,发达国家,Developed country,fādá
1928,59.01,高速公路,highway,gāosù
1929,59.0,效率,efficient,xiàolǜ
1930,58.98,总量,Total,zǒngliàng
1931,58.97,田径,track and field,tiánjìng
1932,58.97,肯定,affim,kěndìng
1933,58.94,变成,become,biànchénɡ
1934,58.93,巴基斯坦,Pakistan,Bājīsītǎn
1935,58.89,减轻,Reduce,jiǎnqīng
1936,58.87,生,pregnancy,shēng
1937,58.78,遇到,meet,yùdào
1938,58.76,子,son,zǐ
1939,58.69,轨道,track,guǐdào
1940,58.66,1万,10000,guǐdào
1941,58.65,幅,Sign,fú
1942,58.62,指挥,command,zhǐhuī
1943,58.46,获悉,Become known,huòxī
1944,58.44,理解,understand,lǐjiě
1945,58.41,无论,regardless,wúlùn
1946,58.38,亲切,kind,qīnqiè
1947,58.33,扎,tie,zā
1948,58.32,八五,Eighth five,bā
1949,58.25,地处,Place,dìchǔ
1950,58.23,粮,grain,liáng
1951,58.21,具,Tool,jù
1952,58.15,弗,Verson,fú
1953,58.1,近期,Recently,jìnqī
1954,58.09,省政府,Provincial government,shěng
1955,58.06,华人,Chinese,huárén
1956,58.03,江,Jiang,jiāng
1957,58.01,天津市,Tianjin,Tiānjīn
1958,57.96,强大,powerful,qiángdà
1959,57.95,中外,Chinese and foreign,zhōngwài
1960,57.94,安理会,Parish,ānlǐhuì
1961,57.93,化工,Chemical industry,huàɡōnɡ
1962,57.89,正是,Entirely,zhèngshì
1963,57.84,公顷,Hectare,gōngqǐng
1964,57.78,失业,unemployment,shīyè
1965,57.78,路线,route,lùxiàn
1966,57.74,楼,building,lóu
1967,57.68,交往,Exchange,jiāowǎng
1968,57.64,出台,Introduce,chūtái
1969,57.6,祝贺,congratulate,zhùhè
1970,57.58,力,force,lì
1971,57.58,省市,Province,shěng
1972,57.52,为止,until,wéizhǐ
1973,57.48,获胜,Win,huòshèng
1974,57.37,柬埔寨,Cambodia,Jiǎnpǔzhài
1975,57.36,小学,primary school,xiǎoxué
1976,57.34,克服,overcome,kèfú
1977,57.34,审批,Approval,shěnpī
1978,57.21,光,Light,guāng
1979,57.17,活力,vitality,huólì
1980,57.15,危险,Danger,wēixiǎn
1981,57.08,疾病,disease,jíbìng
1982,57.08,专利,patent,zhuānlì
1983,57.02,黄金,gold,huángjīn
1984,56.92,加速,accelerate,jiāsù
1985,56.82,进出口,import and export,jìn-chūkǒu
1986,56.8,转化,Transform,zhuǎnhuà
1987,56.79,遭受,suffer,zāoshòu
1988,56.73,回到,Returning,huídào
1989,56.71,九十,ninety,jiǔ
1990,56.7,改,change,gǎi
1991,56.64,格局,pattern,géjú
1992,56.63,名将,Famous,míngjiàng
1993,56.59,决心,determination,juéxīn
1994,56.56,博览会,Fair,bólǎnhuì
1995,56.5,不过,but,bùguò
1996,56.44,提,carry,dī
1997,56.38,河,River,hé
1998,56.35,奖励,award,jiǎnglì
1999,56.33,完整,whole,wánzhěng
2000,56.3,随,Follow,suí
2001,56.28,印,print,yìn
2002,56.23,莫斯科,Moscow,Mòsīkē
2003,56.17,气氛,atmosphere,qìfēn
2004,56.14,约旦,Jordan,Yuēdàn
2005,56.12,欧共体,EC,ōugòngtǐ
2006,56.12,开工,start,kāigōng
2007,56.07,产业化,Industrialization,chǎnyèhuà
2008,56.01,访华,Visit China,fǎng
2009,56.0,事实,fact,shìshí
2010,55.98,西安,Xi'an,Xī'ān
2011,55.95,积,product,jī
2012,55.92,田,field,tián
2013,55.92,基本法,Basic law,jīběnfǎ
2014,55.88,活跃,active,huóyuè
2015,55.85,树立,Establish,shùlì
2016,55.75,淘汰,disuse,táotài
2017,55.72,之中,In,zhīzhōng
2018,55.72,日报,daily,rìbào
2019,55.65,吸收,absorb,xīshōu
2020,55.65,有可能,possible,yǒu
2021,55.64,岛,island,dǎo
2022,55.63,立法,legislation,lìfǎ
2023,55.59,处罚,Punishment,chǔfá
2024,55.56,观看,Watch,guānkàn
2025,55.4,考核,Assessment,kǎohé
2026,55.39,物价,Price,wùjià
2027,55.37,注册,register,zhùcè
2028,55.3,你们,you,nǐmen
2029,55.27,河北,Hebei,Héběi
2030,55.22,工,work,gōng
2031,55.19,称为,Be called,chēnɡwéi
2032,55.19,赛季,Season,sàijì
2033,55.13,城乡,Urban and rural,chénɡxiānɡ
2034,55.13,接触,get in touch with,jiēchù
2035,55.07,丰收,Harvest,fēngshōu
2036,55.07,资本,capital,zīběn
2037,55.03,沈阳,Shenyang,Shěnyánɡ
2038,55.02,菲律宾,Philippine,Fēilǜbīn
2039,55.0,健全,sound,jiànquán
2040,54.96,菜,vegetable,cài
2041,54.95,朋友,friend,péngyou
2042,54.94,平等,equality,píngděng
2043,54.9,大约,About,dàyuē
2044,54.9,创办,Found,chuàngbàn
2045,54.88,声,Voice,shēng
2046,54.85,陕西,Shaanxi,Shǎnxī
2047,54.83,市区,Urban area,shìqū
2048,54.8,心理,psychology,xīnlǐ
2049,54.8,布什,Bush,bù
2050,54.78,北方,north,běifāng
2051,54.77,列入,Incorporate,liè
2052,54.75,反应,reaction,fǎnyìng
2053,54.73,表彰,Commend,biǎozhāng
2054,54.73,尚未,Not yet,shàngwèi
2055,54.7,莫,Do,mò
2056,54.61,五十,Fifty,wǔ
2057,54.6,评选,Selection,píngxuǎn
2058,54.59,政协,CPPCC,zhèngxié
2059,54.56,属于,belong,shǔyú
2060,54.5,比重,proportion,bǐzhòng
2061,54.47,原油,crude,yuányóu
2062,54.45,改进,Improve,gǎijìn
2063,54.43,2万,20000,gǎijìn
2064,54.38,周围,around,zhōuwéi
2065,54.33,银牌,silver medal,yínpái
2066,54.31,玉米,corn,yùmǐ
2067,54.29,省长,Governor,shěnɡzhǎnɡ
2068,54.25,安徽,Anhui,Ānhuī
